countrycode,countryname,adminone,adminlevel,date,datatype,indicator_name,population,prevalence
ZWE,Zimbabwe,Midlands,subnational,2025-01-12,SURVEY,fcs,574077,0.3168356230007263
ZWE,Zimbabwe,Midlands,subnational,2025-01-12,SURVEY,rcsi,1141300,0.6298884932347558
ZWE,Zimbabwe,Bulawayo,subnational,2025-01-11,SURVEY,total,665940,0.4590193254072494
ZWE,Zimbabwe,Bulawayo,subnational,2025-01-11,SURVEY,fcs,77273,0.1160359792173469
ZWE,Zimbabwe,Bulawayo,subnational,2025-01-11,SURVEY,rcsi,297339,0.446495179745923
ZWE,Zimbabwe,Harare,subnational,2025-01-11,SURVEY,total,2427209,0.4590193254072494
ZWE,Zimbabwe,Harare,subnational,2025-01-11,SURVEY,fcs,478672,0.19721087059252
ZWE,Zimbabwe,Harare,subnational,2025-01-11,SURVEY,rcsi,1307158,0.5385436524007615
ZWE,Zimbabwe,Manicaland,subnational,2025-01-11,SURVEY,total,2037762,0.4590193254072494
ZWE,Zimbabwe,Manicaland,subnational,2025-01-11,SURVEY,fcs,649748,0.3188537228587048
ZWE,Zimbabwe,Manicaland,subnational,2025-01-11,SURVEY,rcsi,1274563,0.6254719638505379
ZWE,Zimbabwe,Mashonaland Central,subnational,2025-01-11,SURVEY,total,1384891,0.4590193254072494
ZWE,Zimbabwe,Mashonaland Central,subnational,2025-01-11,SURVEY,fcs,573502,0.4141134573045821
ZWE,Zimbabwe,Mashonaland Central,subnational,2025-01-11,SURVEY,rcsi,883692,0.6380949836485327
ZWE,Zimbabwe,Mashonaland East,subnational,2025-01-11,SURVEY,total,1731181,0.4590193254072494
ZWE,Zimbabwe,Mashonaland East,subnational,2025-01-11,SURVEY,fcs,587464,0.3393429109954418
ZWE,Zimbabwe,Mashonaland East,subnational,2025-01-11,SURVEY,rcsi,883130,0.5101315229314555
ZWE,Zimbabwe,Mashonaland West,subnational,2025-01-11,SURVEY,total,1893578,0.4590193254072494
ZWE,Zimbabwe,Mashonaland West,subnational,2025-01-11,SURVEY,fcs,470317,0.2483747698800894
ZWE,Zimbabwe,Mashonaland West,subnational,2025-01-11,SURVEY,rcsi,1080072,0.5703868549381119
ZWE,Zimbabwe,Masvingo,subnational,2025-01-11,SURVEY,total,1638539,0.4590193254072494
ZWE,Zimbabwe,Masvingo,subnational,2025-01-11,SURVEY,fcs,472938,0.2886339598874363
ZWE,Zimbabwe,Masvingo,subnational,2025-01-11,SURVEY,rcsi,1052607,0.6424058261658709
ZWE,Zimbabwe,Matabeleland North,subnational,2025-01-11,SURVEY,total,827626,0.4590193254072494
ZWE,Zimbabwe,Matabeleland North,subnational,2025-01-11,SURVEY,fcs,345563,0.4175352151817367
ZWE,Zimbabwe,Matabeleland North,subnational,2025-01-11,SURVEY,rcsi,538525,0.6506864211612492
ZWE,Zimbabwe,Matabeleland South,subnational,2025-01-11,SURVEY,total,760345,0.4590193254072494
ZWE,Zimbabwe,Matabeleland South,subnational,2025-01-11,SURVEY,fcs,281409,0.3701069909054442
ZWE,Zimbabwe,Matabeleland South,subnational,2025-01-11,SURVEY,rcsi,325959,0.4286988143540103
ZWE,Zimbabwe,Midlands,subnational,2025-01-11,SURVEY,total,1811908,0.4590193254072494
ZWE,Zimbabwe,Midlands,subnational,2025-01-11,SURVEY,fcs,596541,0.329233603472141
ZWE,Zimbabwe,Midlands,subnational,2025-01-11,SURVEY,rcsi,1146790,0.6329184483980422
ZWE,Zimbabwe,Bulawayo,subnational,2025-01-10,SURVEY,total,665940,0.4590193254072494
ZWE,Zimbabwe,Bulawayo,subnational,2025-01-10,SURVEY,fcs,80170,0.1203862209808691
ZWE,Zimbabwe,Bulawayo,subnational,2025-01-10,SURVEY,rcsi,295370,0.4435384569180406
ZWE,Zimbabwe,Harare,subnational,2025-01-10,SURVEY,total,2427209,0.4590193254072494
ZWE,Zimbabwe,Harare,subnational,2025-01-10,SURVEY,fcs,463757,0.19106595270535
ZWE,Zimbabwe,Harare,subnational,2025-01-10,SURVEY,rcsi,1307158,0.5385436524007615
ZWE,Zimbabwe,Manicaland,subnational,2025-01-10,SURVEY,total,2037762,0.4590193254072494
ZWE,Zimbabwe,Manicaland,subnational,2025-01-10,SURVEY,fcs,661223,0.3244849005919238
ZWE,Zimbabwe,Manicaland,subnational,2025-01-10,SURVEY,rcsi,1248712,0.6127859877650089
ZWE,Zimbabwe,Mashonaland Central,subnational,2025-01-10,SURVEY,total,1384891,0.4590193254072494
ZWE,Zimbabwe,Mashonaland Central,subnational,2025-01-10,SURVEY,fcs,576372,0.4161858225665413
ZWE,Zimbabwe,Mashonaland Central,subnational,2025-01-10,SURVEY,rcsi,887800,0.6410612820792394
ZWE,Zimbabwe,Mashonaland East,subnational,2025-01-10,SURVEY,total,1731181,0.4590193254072494
ZWE,Zimbabwe,Mashonaland East,subnational,2025-01-10,SURVEY,fcs,589048,0.3402578933109825
ZWE,Zimbabwe,Mashonaland East,subnational,2025-01-10,SURVEY,rcsi,916895,0.5296355493735202
ZWE,Zimbabwe,Mashonaland West,subnational,2025-01-10,SURVEY,total,1893578,0.4590193254072494
